Filename,Peak Nr,Component,Master Peak,Ref  Name,Start (s),Rt (s),End (s),Width (s),Ampl  44 (mV),Ampl  45 (mV),Ampl  46 (mV),BGD 44 (mV),BGD 45 (mV),BGD 46 (mV),Area All (Vs),Area 44 (Vs),Area 45 (Vs),Area 46 (Vs),rArea All (mVs),rArea 44 (mVs),rArea 45 (mVs),rArea 46 (mVs),R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2 (per mil) vs  CO2 Lab Tank,d 45CO2/44CO2 (per mil) vs  VPDB VSMOW,DeltaDelta 45CO2/44CO2 (‰),R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2 (per mil) vs  CO2 Lab Tank,d 46CO2/44CO2 (per mil) vs  VPDB VSMOW,DeltaDelta 46CO2/44CO2 (‰),R 13C/12C,d 13C/12C (per mil) vs  VPDB,AT% 13C/12C (%),R 18O/16O,d 18O/16O (per mil) vs  VSMOW,AT% 18O/16O (%),R 17O/16O,d 17O/16O
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,38, -, -,CO2 Lab.Tank,2520.6,2528.5,2538.2,17.7,90,104,121,6.0,9.4,9.3,0.546,0.538,0.006,0.002,1868,538,611,719,0.0115931,1.1361281,-14.126,-32.690, -,0.0038056,1.3378248,-20.361,-53.222, -,0.0108108,-33.041,1.069517,0.0018985,-53.207,0.189491,0.0003911,-10.553
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,39, -, -,CO2 Lab.Tank,2635.7,2643.4,2650.4,14.7,15,18,21,6.1,8.4,9.3,0.106,0.105,0.001,0.000,368,105,122,141,0.0119033,1.1665286,12.254,-6.807, -,0.0038424,1.3507424,-10.902,-44.081, -,0.0111171,-5.641,1.099490,0.0019167,-44.115,0.191307,0.0003931,-5.662
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,40, -, -,CO2 Lab.Tank,2677.2,2686.9,2697.1,19.9,357,456,479,6.1,8.4,9.3,2.228,2.191,0.028,0.009,7935,2191,2810,2935,0.0130875,1.2825858,112.963,92.005, -,0.0038101,1.3394066,-19.202,-52.103, -,0.0123049,100.597,1.215533,0.0019002,-52.378,0.189657,0.0003913,-10.106
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,41, -, -,CO2 Lab.Tank,2723.9,2730.6,2737.6,13.6,13,16,18,6.1,8.4,9.3,0.095,0.093,0.001,0.000,329,93,110,126,0.0120008,1.1760844,20.546,1.329, -,0.0038601,1.3569910,-6.326,-39.659, -,0.0112128,2.913,1.108844,0.0019256,-39.707,0.192188,0.0003940,-3.298
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,42, -, -,CO2 Lab.Tank,2771.4,2777.3,2783.5,12.1,11,13,14,6.4,8.6,9.7,0.079,0.078,0.001,0.000,282,78,99,106,0.0129395,1.2680813,100.376,79.656, -,0.0038634,1.3581415,-5.484,-38.844, -,0.0121512,86.854,1.200536,0.0019268,-39.077,0.192314,0.0003941,-2.961
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,43, -, -,CO2 Lab.Tank,2811.9,2824.9,2839.4,27.5,1062,1418,1421,7.3,9.7,11.0,7.162,7.037,0.097,0.028,26159,7037,9708,9414,0.0140765,1.3795023,197.062,174.520, -,0.0038055,1.3377935,-20.384,-53.245, -,0.0132944,189.102,1.311998,0.0018975,-53.713,0.189390,0.0003910,-10.826
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,44, -, -,CO2 Lab.Tank,2840.7,2843.2,2851.5,10.8,10,15,14,7.3,9.7,11.0,0.087,0.086,0.001,0.000,324,86,125,114,0.0149557,1.4656717,271.835,247.886, -,0.0037739,1.3266657,-28.532,-61.120, -,0.0141771,268.056,1.397893,0.0018813,-61.766,0.187781,0.0003893,-15.179
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,45, -, -,CO2 Lab.Tank,2856.6,2863.8,2871.3,14.7,26,32,35,7.3,9.7,11.0,0.199,0.196,0.002,0.001,706,196,249,262,0.0129974,1.2737586,105.303,84.489, -,0.0038081,1.3386995,-19.720,-52.603, -,0.0122150,92.559,1.206762,0.0018992,-52.861,0.189560,0.0003912,-10.367
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,46, -, -,CO2 Lab.Tank,3037.5,3044.8,3051.7,14.2,10,14,14,7.1,9.4,10.8,0.074,0.073,0.001,0.000,276,73,105,98,0.0145991,1.4307193,241.505,218.127, -,0.0038309,1.3467140,-13.852,-46.932, -,0.0138144,235.611,1.362614,0.0019100,-47.497,0.190632,0.0003923,-7.478
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,47, -, -,CO2 Lab.Tank,3071.3,3079.5,3087.7,16.4,52,92,70,7.1,9.4,10.8,0.341,0.333,0.006,0.001,1385,333,605,448,0.0185023,1.8132377,573.435,543.807, -,0.0038184,1.3423237,-17.066,-50.039, -,0.0177192,584.877,1.741074,0.0019022,-51.367,0.189859,0.0003915,-9.561
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,48, -, -,CO2 Lab.Tank,3088.8,3094.4,3103.9,15.2,13,18,18,7.1,9.4,10.8,0.129,0.127,0.002,0.001,479,127,182,170,0.0146522,1.4359271,246.024,222.561, -,0.0038191,1.3425499,-16.901,-49.878, -,0.0138688,240.476,1.367906,0.0019040,-50.456,0.190041,0.0003917,-9.071
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,49, -, -,CO2 Lab.Tank,3164.9,3173.1,3182.9,18.0,40,52,54,7.5,9.9,11.3,0.275,0.270,0.004,0.001,983,270,351,362,0.0132415,1.2976786,126.059,104.855, -,0.0038077,1.3385411,-19.836,-52.716, -,0.0124592,114.397,1.230586,0.0018989,-53.021,0.189528,0.0003912,-10.453
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,50, -, -,CO2 Lab.Tank,3200.7,3209.4,3220.1,19.5,135,388,181,7.8,10.6,11.7,0.850,0.822,0.024,0.003,4358,822,2430,1106,0.0301545,2.9551614,1564.338,1516.050, -,0.0038241,1.3443346,-15.594,-48.615, -,0.0293718,1627.127,2.853371,0.0019005,-52.213,0.189690,0.0003913,-10.017
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,51, -, -,CO2 Lab.Tank,3572.3,3611.9,3615.4,43.2,1843,2125,2518,0.1,0.4,1.3,71.942,70.835,0.817,0.290,249242,70835,81653,96754,0.0117623,1.1527115,0.264,-18.571, -,0.0038855,1.3658927,0.192,-33.359, -,0.0109716,-18.659,1.085252,0.0019383,-33.354,0.193457,0.0003953,0.099
39__290925_b5078_1 ul_FAME BPX70 maestro_met.cf,52, -, -,CO2 Lab.Tank,3671.2,3711.6,3715.4,44.2,1831,2111,2501,0.1,0.4,1.2,73.646,72.513,0.836,0.297,255105,72513,83572,99020,0.0117601,1.1525007,0.081,-18.751, -,0.0038845,1.3655404,-0.066,-33.608, -,0.0109695,-18.842,1.085052,0.0019378,-33.603,0.193407,0.0003953,-0.034
